,종목명,시가총액(억 원),부채율(%),배당률(%),PBR,GP/A
052690,한전기술,25492,50.25,0.52,3.77,13.59461114513166
018670,SK가스,12285,149.13,5.63,0.45,11.627627833601975
020120,키다리스튜디오,2488,37.92,0.55,1.25,17.819429778247095
060560,홈센타홀딩스,1802,95.14,0.88,1.03,0.11299435028248588
091120,이엠텍,4454,57.49,0.7,1.39,0.22004830917874396
123410,코리아에프티,943,164.73,3.35,0.46,0.1943669119512814
001460,BYC,2648,29.69,0.82,0.6,10.734040962774705
067280,멀티캠퍼스,2106,69.26,2.27,1.24,0.3409869773817683
049480,오픈베이스,893,69.95,0.56,1.1,0.2846715328467153
090430,아모레퍼시픽,67149,21.39,0.49,1.98,48.21607087455617
003410,쌍용C&E,29475,143.19,7.64,1.81,10.59288129468549
049950,미래컴퍼니,2887,28.65,1.65,1.11,0.3329432416617905
001430,세아베스틸지주,8320,93.66,7.36,0.31,9.056149172428242
004690,삼천리,5437,226.25,0.77,1.08,8.520509757068897
131290,티에스이,4020,31.76,1.35,1.4,0.2280862781092244
049960,쎌바이오텍,1285,7.17,3.54,0.9,0.32728842832469773
054800,아이디스홀딩스,1430,45.66,1.98,0.47,0.2324770642201835
234080,JW생명과학,1928,80.24,4.12,1.31,19.019375247133254
008060,대덕,2185,28.24,6.44,0.36,17.001155826415886
003570,SNT다이내믹스,3252,41.26,5.35,0.42,6.02577873254565
005960,동부건설,1608,171.03,6.89,0.29,8.69317822595941
019010,베뉴지,1038,76.41,1.4,0.34,0.06288294098677846
017510,세명전기,498,11.06,2.34,0.61,0.03734939759036145
055490,테이팩스,2493,33.53,1.72,1.67,21.558704453441297
025880,케이씨피드,464,59.41,1.96,0.69,0.15329218106995884
006260,LS,29849,202.7,2.22,0.55,11.191269180444866
131030,옵투스제약,975,9.46,1.59,0.78,0.2327459618208517
028260,삼성물산,206192,84.52,2.03,0.74,10.239142782058781
003380,하림지주,9912,162.26,1.57,0.31,0.16953048458813777
136490,선진,2066,202.67,1.08,0.52,20.13347330533893
083450,GST,2222,25.07,1.53,0.92,0.47577442414614773
006650,대한유화,9048,17.93,0.58,0.6,-7.8194735403952995
131090,시큐브,465,11.94,2.45,1.01,0.25
240810,원익IPS,14087,28.97,0.81,1.35,0.36756708567353125
002290,삼일기업공사,458,17.41,3.35,0.73,0.08119079837618404
003490,대한항공,83586,212.06,3.27,0.94,13.27932905023502
083550,케이엠,671,38.91,0.78,0.53,0.16937229437229437
035000,지투알,1086,208.55,6.78,0.53,37.518355359765046
117580,대성에너지,2376,165.94,2.74,0.8,13.648891551827441
105740,디케이락,1023,53.33,1.78,0.91,0.17466743782533256
023900,풍국주정,1640,14.75,0.5,1.03,0.11477987421383648
335890,비올,3616,14.38,0.31,4.81,0.5123595505617977
200130,콜마비앤에이치,6558,53.2,1.09,2.08,0.16696385151564272
095340,ISC,6324,33.73,1.91,1.91,0.23549107142857142
007690,국도화학,3933,74.68,3.27,0.44,18.677873390701087
069620,대웅제약,13034,110.91,0.38,2.93,40.875071963154866
281820,케이씨텍,3817,13.46,1.69,0.71,27.1260086902545
